Ligand,Score
CHEMBL2021422_preprocessed_conf0_out.sdf,-4.083
CHEMBL1368_preprocessed_conf1_out.sdf,-1.597
CHEMBL41286_preprocessed_conf3_out.sdf,-3.837
CHEMBL1200342_preprocessed_conf1_out.sdf,-3.957
CHEMBL3544909_preprocessed_conf0_out.sdf,-4.18
CHEMBL850_preprocessed_conf8_out.sdf,-3.78
CHEMBL3989937_preprocessed_conf1_out.sdf,-3.923
CHEMBL1200468_preprocessed_conf9_out.sdf,-2.829
CHEMBL1353_preprocessed_conf5_out.sdf,-1.753
CHEMBL4297517_preprocessed_conf5_out.sdf,-3.708
CHEMBL10878_preprocessed_conf4_out.sdf,-4.061
CHEMBL1200459_preprocessed_conf3_out.sdf,-1.598
CHEMBL3400972_preprocessed_conf6_out.sdf,-2.894
CHEMBL772_preprocessed_conf5_out.sdf,-3.96
CHEMBL1201774_preprocessed_conf6_out.sdf,-3.303
CHEMBL1659_preprocessed_conf0_out.sdf,-3.554
CHEMBL1200705_preprocessed_conf3_out.sdf,-2.953
CHEMBL398707_preprocessed_conf7_out.sdf,-3.199
CHEMBL278819_preprocessed_conf0_out.sdf,-3.761
CHEMBL1200901_preprocessed_conf3_out.sdf,-4.131
CHEMBL1200406_preprocessed_conf9_out.sdf,-3.989
CHEMBL501_preprocessed_conf3_out.sdf,-3.111
CHEMBL1201138_preprocessed_conf0_out.sdf,-3.849
CHEMBL1200756_preprocessed_conf3_out.sdf,-2.551
CHEMBL2147777_preprocessed_conf0_out.sdf,-3.577
CHEMBL1616046_preprocessed_conf7_out.sdf,-1.337
CHEMBL464982_preprocessed_conf9_out.sdf,-3.906
CHEMBL1144_preprocessed_conf2_out.sdf,-3.669
CHEMBL24_preprocessed_conf3_out.sdf,-3.212
CHEMBL544665_preprocessed_conf0_out.sdf,-3.617
CHEMBL1239_preprocessed_conf2_out.sdf,-3.837
CHEMBL1652_preprocessed_conf6_out.sdf,-3.443
CHEMBL2106195_preprocessed_conf4_out.sdf,-3.372
CHEMBL1201758_preprocessed_conf3_out.sdf,-3.656
CHEMBL3137310_preprocessed_conf2_out.sdf,-4.491
CHEMBL30008_preprocessed_conf5_out.sdf,-3.832
CHEMBL746_preprocessed_conf4_out.sdf,-3.899
CHEMBL1201043_preprocessed_conf4_out.sdf,-3.216
CHEMBL296306_preprocessed_conf3_out.sdf,-2.693
CHEMBL965_preprocessed_conf9_out.sdf,-2.152
CHEMBL1201775_preprocessed_conf6_out.sdf,-2.752
CHEMBL19299_preprocessed_conf8_out.sdf,-3.922
CHEMBL24171_preprocessed_conf1_out.sdf,-3.119
CHEMBL1201033_preprocessed_conf4_out.sdf,-2.95
CHEMBL1443_preprocessed_conf4_out.sdf,-4.78
CHEMBL418995_preprocessed_conf4_out.sdf,-3.997
CHEMBL1098659_preprocessed_conf2_out.sdf,-0.737
CHEMBL282575_preprocessed_conf2_out.sdf,-4.348
CHEMBL1269025_preprocessed_conf6_out.sdf,-3.434
CHEMBL1200432_preprocessed_conf6_out.sdf,-3.408
CHEMBL1232131_preprocessed_conf9_out.sdf,-2.666
CHEMBL3989555_preprocessed_conf6_out.sdf,-4.071
CHEMBL1619785_preprocessed_conf0_out.sdf,-3.794
CHEMBL361812_preprocessed_conf8_out.sdf,-3.943
CHEMBL2106615_preprocessed_conf3_out.sdf,-4.35
CHEMBL56337_preprocessed_conf5_out.sdf,-3.555
CHEMBL1098285_preprocessed_conf3_out.sdf,-3.83
CHEMBL1200895_preprocessed_conf2_out.sdf,-2.875
CHEMBL76370_preprocessed_conf8_out.sdf,-3.33
CHEMBL1010_preprocessed_conf7_out.sdf,-3.452
CHEMBL84_preprocessed_conf3_out.sdf,-3.596
CHEMBL1113_preprocessed_conf2_out.sdf,-3.966
CHEMBL532_preprocessed_conf5_out.sdf,-3.412
CHEMBL505_preprocessed_conf0_out.sdf,-3.199
CHEMBL4071161_preprocessed_conf3_out.sdf,-4.28
CHEMBL864_preprocessed_conf4_out.sdf,-3.32
CHEMBL19215_preprocessed_conf3_out.sdf,-4.504
CHEMBL222863_preprocessed_conf3_out.sdf,-4.025
CHEMBL1200925_preprocessed_conf4_out.sdf,-1.598
CHEMBL1431_preprocessed_conf2_out.sdf,-2.244
CHEMBL1678_preprocessed_conf8_out.sdf,-3.72
CHEMBL601_preprocessed_conf5_out.sdf,-2.605
CHEMBL92401_preprocessed_conf6_out.sdf,-2.658
CHEMBL1437_preprocessed_conf6_out.sdf,-2.844
CHEMBL2355839_preprocessed_conf5_out.sdf,-2.737
CHEMBL54349_preprocessed_conf7_out.sdf,-3.716
CHEMBL698_preprocessed_conf2_out.sdf,-3.189
CHEMBL233406_preprocessed_conf1_out.sdf,-1.587
CHEMBL2107004_preprocessed_conf0_out.sdf,-3.996
CHEMBL1201213_preprocessed_conf9_out.sdf,-3.109
CHEMBL1214124_preprocessed_conf6_out.sdf,-4.247
CHEMBL995_preprocessed_conf0_out.sdf,-3.784
CHEMBL3544971_preprocessed_conf5_out.sdf,-3.001
CHEMBL3989551_preprocessed_conf1_out.sdf,-3.225
