Ligand,Score
CHEMBL1256137_preprocessed_conf1_out.sdf,-1.691
CHEMBL1200584_preprocessed_conf4_out.sdf,-3.154
CHEMBL1200483_preprocessed_conf9_out.sdf,-4.181
CHEMBL15870_preprocessed_conf5_out.sdf,-3.868
CHEMBL1200598_preprocessed_conf4_out.sdf,-4.298
CHEMBL2021422_preprocessed_conf0_out.sdf,-3.926
CHEMBL1368_preprocessed_conf1_out.sdf,-1.689
CHEMBL41286_preprocessed_conf3_out.sdf,-3.653
CHEMBL2374220_preprocessed_conf3_out.sdf,28646866.0
CHEMBL1200342_preprocessed_conf1_out.sdf,-3.972
CHEMBL3544909_preprocessed_conf0_out.sdf,-3.946
CHEMBL850_preprocessed_conf8_out.sdf,-3.733
CHEMBL3989937_preprocessed_conf1_out.sdf,-4.486
CHEMBL1200468_preprocessed_conf9_out.sdf,-2.559
CHEMBL1353_preprocessed_conf5_out.sdf,-1.718
CHEMBL4297517_preprocessed_conf5_out.sdf,-3.93
CHEMBL10878_preprocessed_conf4_out.sdf,-4.865
CHEMBL1200459_preprocessed_conf3_out.sdf,-1.688
CHEMBL3400972_preprocessed_conf6_out.sdf,-3.81
CHEMBL1201774_preprocessed_conf6_out.sdf,-3.413
CHEMBL1659_preprocessed_conf0_out.sdf,-4.325
CHEMBL1200705_preprocessed_conf3_out.sdf,-3.837
CHEMBL398707_preprocessed_conf7_out.sdf,-4.14
CHEMBL278819_preprocessed_conf0_out.sdf,-4.02
CHEMBL1200901_preprocessed_conf3_out.sdf,-3.893
CHEMBL1200406_preprocessed_conf9_out.sdf,-5.225
CHEMBL501_preprocessed_conf3_out.sdf,-3.78
CHEMBL1201138_preprocessed_conf0_out.sdf,-3.388
CHEMBL1200756_preprocessed_conf3_out.sdf,-3.057
CHEMBL2147777_preprocessed_conf0_out.sdf,-3.82
CHEMBL2103830_preprocessed_conf1_out.sdf,-3.121
CHEMBL1616046_preprocessed_conf7_out.sdf,-1.295
CHEMBL464982_preprocessed_conf9_out.sdf,-4.547
CHEMBL1144_preprocessed_conf2_out.sdf,-4.443
CHEMBL24_preprocessed_conf3_out.sdf,-3.443
CHEMBL544665_preprocessed_conf0_out.sdf,-3.979
CHEMBL1239_preprocessed_conf2_out.sdf,-4.648
CHEMBL1652_preprocessed_conf6_out.sdf,-1.661
CHEMBL2106195_preprocessed_conf4_out.sdf,-4.281
CHEMBL1201758_preprocessed_conf3_out.sdf,-3.797
CHEMBL3137310_preprocessed_conf2_out.sdf,-4.254
CHEMBL30008_preprocessed_conf5_out.sdf,-4.395
