Ligand,Score
CHEMBL2105662_preprocessed_conf8_out.sdf,-5.051
CHEMBL3989887_preprocessed_conf8_out.sdf,-3.805
CHEMBL1201118_preprocessed_conf2_out.sdf,-2.603
CHEMBL1506_preprocessed_conf6_out.sdf,-4.624
CHEMBL985_preprocessed_conf1_out.sdf,-2.224
CHEMBL567_preprocessed_conf0_out.sdf,-4.021
CHEMBL1200925_preprocessed_conf1_out.sdf,-2.189
CHEMBL159_preprocessed_conf6_out.sdf,-4.428
CHEMBL254857_preprocessed_conf6_out.sdf,-4.514
CHEMBL1200701_preprocessed_conf3_out.sdf,-3.812
CHEMBL1523964_preprocessed_conf0_out.sdf,-5.324
CHEMBL1648_preprocessed_conf7_out.sdf,-3.533
CHEMBL62193_preprocessed_conf5_out.sdf,-4.158
CHEMBL1294_preprocessed_conf6_out.sdf,-4.03
CHEMBL1689063_preprocessed_conf1_out.sdf,-2.823
CHEMBL3137321_preprocessed_conf5_out.sdf,-4.507
CHEMBL409_preprocessed_conf0_out.sdf,-5.322
CHEMBL1187833_preprocessed_conf0_out.sdf,-4.708
CHEMBL376140_preprocessed_conf2_out.sdf,-4.252
CHEMBL3137312_preprocessed_conf8_out.sdf,-4.555
CHEMBL363295_preprocessed_conf3_out.sdf,-4.57
CHEMBL3039520_preprocessed_conf1_out.sdf,-4.9
CHEMBL680_preprocessed_conf6_out.sdf,-3.876
CHEMBL4298137_preprocessed_conf6_out.sdf,-3.701
CHEMBL1200836_preprocessed_conf1_out.sdf,-4.506
CHEMBL1200675_preprocessed_conf5_out.sdf,-4.405
CHEMBL177_preprocessed_conf0_out.sdf,-3.911
CHEMBL1626223_preprocessed_conf2_out.sdf,-3.504
CHEMBL1200809_preprocessed_conf3_out.sdf,-5.349
CHEMBL1451116_preprocessed_conf7_out.sdf,-2.175
CHEMBL363392_preprocessed_conf6_out.sdf,-4.09
CHEMBL175247_preprocessed_conf0_out.sdf,-6.296
CHEMBL2219414_preprocessed_conf8_out.sdf,-4.65
CHEMBL3989716_preprocessed_conf9_out.sdf,-5.488
CHEMBL797_preprocessed_conf1_out.sdf,-4.645
CHEMBL46740_preprocessed_conf8_out.sdf,-4.962
CHEMBL1200448_preprocessed_conf6_out.sdf,-3.275
CHEMBL1213165_preprocessed_conf6_out.sdf,-4.111
CHEMBL1200409_preprocessed_conf6_out.sdf,-4.101
CHEMBL105_preprocessed_conf7_out.sdf,-3.574
CHEMBL1201242_preprocessed_conf2_out.sdf,-4.782
CHEMBL109_preprocessed_conf0_out.sdf,-3.848
CHEMBL1201042_preprocessed_conf3_out.sdf,-3.15
CHEMBL1559_preprocessed_conf2_out.sdf,-3.616
CHEMBL1133_preprocessed_conf2_out.sdf,-4.328
CHEMBL1651998_preprocessed_conf4_out.sdf,-3.47
CHEMBL186314_preprocessed_conf3_out.sdf,-2.153
CHEMBL1584_preprocessed_conf5_out.sdf,-4.002
CHEMBL2216870_preprocessed_conf6_out.sdf,-5.054
CHEMBL976_preprocessed_conf6_out.sdf,-4.602
CHEMBL3786343_preprocessed_conf7_out.sdf,-3.621
CHEMBL2364617_preprocessed_conf2_out.sdf,-4.954
CHEMBL1201317_preprocessed_conf7_out.sdf,-2.988
CHEMBL94454_preprocessed_conf2_out.sdf,-4.365
CHEMBL1371770_preprocessed_conf2_out.sdf,-3.669
CHEMBL107_preprocessed_conf0_out.sdf,-3.964
CHEMBL255044_preprocessed_conf2_out.sdf,-4.154
CHEMBL1389_preprocessed_conf9_out.sdf,-4.617
CHEMBL1611_preprocessed_conf8_out.sdf,-4.965
CHEMBL38_preprocessed_conf9_out.sdf,-4.212
CHEMBL1713_preprocessed_conf5_out.sdf,-3.966
CHEMBL1201288_preprocessed_conf3_out.sdf,-3.868
CHEMBL83063_preprocessed_conf7_out.sdf,-4.586
CHEMBL1200757_preprocessed_conf9_out.sdf,-3.731
CHEMBL1235452_preprocessed_conf5_out.sdf,-1.719
CHEMBL1751_preprocessed_conf8_out.sdf,-2.847
CHEMBL2062163_preprocessed_conf4_out.sdf,-4.35
CHEMBL3544909_preprocessed_conf5_out.sdf,-4.504
CHEMBL566752_preprocessed_conf7_out.sdf,-3.619
CHEMBL1201321_preprocessed_conf3_out.sdf,-4.312
CHEMBL114_preprocessed_conf1_out.sdf,-4.772
CHEMBL1888176_preprocessed_conf5_out.sdf,-4.201
CHEMBL934_preprocessed_conf9_out.sdf,-4.756
CHEMBL1698_preprocessed_conf7_out.sdf,-4.325
CHEMBL185073_preprocessed_conf9_out.sdf,-3.791
CHEMBL634_preprocessed_conf5_out.sdf,-4.355
CHEMBL863_preprocessed_conf3_out.sdf,-2.757
CHEMBL1200478_preprocessed_conf2_out.sdf,-3.986
CHEMBL1626223_preprocessed_conf0_out.sdf,-3.512
CHEMBL451887_preprocessed_conf4_out.sdf,-4.586
CHEMBL4297620_preprocessed_conf3_out.sdf,-5.279
CHEMBL1200861_preprocessed_conf3_out.sdf,-3.199
CHEMBL2003538_preprocessed_conf5_out.sdf,-4.924
CHEMBL1201864_preprocessed_conf2_out.sdf,-4.277
CHEMBL1017_preprocessed_conf3_out.sdf,-5.939
CHEMBL2105669_preprocessed_conf8_out.sdf,-3.776
CHEMBL1256137_preprocessed_conf1_out.sdf,-2.864
CHEMBL1200584_preprocessed_conf4_out.sdf,-5.292
CHEMBL1200483_preprocessed_conf9_out.sdf,-5.009
CHEMBL15870_preprocessed_conf5_out.sdf,-4.405
CHEMBL1200598_preprocessed_conf4_out.sdf,-4.355
CHEMBL2021422_preprocessed_conf0_out.sdf,-4.67
CHEMBL1368_preprocessed_conf1_out.sdf,-2.192
CHEMBL41286_preprocessed_conf3_out.sdf,-4.918
CHEMBL2374220_preprocessed_conf3_out.sdf,-2.495
CHEMBL1200342_preprocessed_conf1_out.sdf,-4.071
CHEMBL3544909_preprocessed_conf0_out.sdf,-4.725
CHEMBL850_preprocessed_conf8_out.sdf,-4.849
CHEMBL3989937_preprocessed_conf1_out.sdf,-4.98
CHEMBL1200468_preprocessed_conf9_out.sdf,-2.736
CHEMBL1353_preprocessed_conf5_out.sdf,-2.144
CHEMBL4297517_preprocessed_conf5_out.sdf,-4.128
CHEMBL10878_preprocessed_conf4_out.sdf,-4.675
CHEMBL1200459_preprocessed_conf3_out.sdf,-2.211
CHEMBL3400972_preprocessed_conf6_out.sdf,-4.259
CHEMBL772_preprocessed_conf5_out.sdf,-4.783
CHEMBL1201774_preprocessed_conf6_out.sdf,-3.543
CHEMBL1659_preprocessed_conf0_out.sdf,-4.987
CHEMBL1644695_preprocessed_conf5_out.sdf,-1.255
CHEMBL1200705_preprocessed_conf3_out.sdf,-5.47
CHEMBL398707_preprocessed_conf7_out.sdf,-3.701
CHEMBL278819_preprocessed_conf0_out.sdf,-4.202
CHEMBL1200901_preprocessed_conf3_out.sdf,-5.851
CHEMBL1200406_preprocessed_conf9_out.sdf,-5.192
CHEMBL501_preprocessed_conf3_out.sdf,-5.791
CHEMBL1201138_preprocessed_conf0_out.sdf,-4.775
CHEMBL1200756_preprocessed_conf3_out.sdf,-4.009
CHEMBL2147777_preprocessed_conf0_out.sdf,-3.826
CHEMBL2103830_preprocessed_conf1_out.sdf,-3.861
CHEMBL1616046_preprocessed_conf7_out.sdf,-1.544
CHEMBL464982_preprocessed_conf9_out.sdf,-5.478
CHEMBL1144_preprocessed_conf2_out.sdf,-5.258
CHEMBL24_preprocessed_conf3_out.sdf,-3.752
CHEMBL544665_preprocessed_conf0_out.sdf,-4.742
CHEMBL1239_preprocessed_conf2_out.sdf,-6.077
CHEMBL1652_preprocessed_conf6_out.sdf,-3.763
CHEMBL2106195_preprocessed_conf4_out.sdf,-4.834
CHEMBL1201758_preprocessed_conf3_out.sdf,-4.724
CHEMBL3137310_preprocessed_conf2_out.sdf,-5.004
CHEMBL30008_preprocessed_conf5_out.sdf,-6.013
CHEMBL746_preprocessed_conf4_out.sdf,-4.63
CHEMBL1201043_preprocessed_conf4_out.sdf,-3.807
CHEMBL296306_preprocessed_conf3_out.sdf,-3.743
CHEMBL965_preprocessed_conf9_out.sdf,-2.852
CHEMBL1201775_preprocessed_conf6_out.sdf,-4.978
CHEMBL19299_preprocessed_conf8_out.sdf,-4.287
CHEMBL24171_preprocessed_conf1_out.sdf,-3.744
CHEMBL1201033_preprocessed_conf4_out.sdf,-3.747
CHEMBL1200980_preprocessed_conf1_out.sdf,-5.612
CHEMBL1443_preprocessed_conf4_out.sdf,-4.338
CHEMBL418995_preprocessed_conf4_out.sdf,-4.924
CHEMBL1098659_preprocessed_conf2_out.sdf,-0.704
CHEMBL282575_preprocessed_conf2_out.sdf,-4.805
CHEMBL1269025_preprocessed_conf6_out.sdf,-3.698
CHEMBL1200432_preprocessed_conf6_out.sdf,-4.104
CHEMBL1232131_preprocessed_conf9_out.sdf,-4.061
CHEMBL3989555_preprocessed_conf6_out.sdf,-5.442
CHEMBL1619785_preprocessed_conf0_out.sdf,-3.732
CHEMBL361812_preprocessed_conf8_out.sdf,-6.255
CHEMBL2106615_preprocessed_conf3_out.sdf,-4.716
CHEMBL56337_preprocessed_conf5_out.sdf,-4.5
CHEMBL1098285_preprocessed_conf3_out.sdf,-4.074
CHEMBL1200895_preprocessed_conf2_out.sdf,-4.875
CHEMBL76370_preprocessed_conf8_out.sdf,-3.846
CHEMBL1010_preprocessed_conf7_out.sdf,-4.014
CHEMBL84_preprocessed_conf3_out.sdf,-5.387
CHEMBL1113_preprocessed_conf2_out.sdf,-4.988
CHEMBL532_preprocessed_conf5_out.sdf,-3.762
CHEMBL505_preprocessed_conf0_out.sdf,-3.672
CHEMBL4071161_preprocessed_conf3_out.sdf,-4.909
CHEMBL864_preprocessed_conf4_out.sdf,-4.082
